original,mz
162.0317,163.039
170.0579,171.0652
176.0473,177.0546
180.0423,181.0496
218.0579,219.0652
254.0579,255.0652
256.0736,257.0809
256.0736,257.0809
256.0736,257.0809
260.1049,261.1122
268.0736,269.0809
270.0892,271.0965
270.0892,271.0965
270.0892,271.0965
272.0685,273.0758
272.1049,273.1122
282.162,283.1693
284.0685,285.0758
284.0685,285.0758
284.0685,285.0758
286.0841,287.0914
286.0841,287.0914
294.0892,295.0965
298.0477,299.055
298.0841,299.0914
298.1569,299.1642
308.1049,309.1122
308.1049,309.1122
314.079,315.0863
322.1205,323.1278
322.1205,323.1278
322.1205,323.1278
322.1205,323.1278
324.1362,325.1435
324.1362,325.1435
324.1362,325.1435
324.1362,325.1435
336.0998,337.1071
336.0998,337.1071
338.1154,339.1227
338.1154,339.1227
338.1518,339.1591
338.1518,339.1591
338.1518,339.1591
340.1311,341.1384
340.1675,341.1748
352.0947,353.102
352.1311,353.1384
354.1103,355.1176
354.1103,355.1176
354.1103,355.1176
354.1467,355.154
354.1467,355.154
354.1467,355.154
354.1467,355.154
356.126,357.1333
366.1103,367.1176
366.1103,367.1176
366.2195,367.2268
368.126,369.1333
370.178,371.1853
380.126,381.1333
382.1416,383.1489
382.1416,383.1489
382.2144,383.2217
384.1209,385.1282
384.1209,385.1282
390.1831,391.1904
390.1831,391.1904
390.1831,391.1904
392.1988,393.2061
392.1988,393.2061
392.1988,393.2061
392.1988,393.2061
406.178,407.1853
408.1937,409.201
408.1937,409.201
418.1264,419.1337
418.1264,419.1337
418.1264,419.1337
418.1264,419.1337
422.1577,423.165
422.1729,423.1802
424.225,425.2323
430.1264,431.1337
432.1056,433.1129
460.1369,461.1442
468.324,469.3313
468.324,469.3313
470.3396,471.3469
470.3396,471.3469
550.1686,551.1759
550.1686,551.1759
578.1636,579.1709
680.3772,681.3845
822.4038,823.4111
822.4038,823.4111
822.4038,823.4111
838.3987,839.406
